,0-RawData,1-FilterAndTrim,2-ErrorModel,3.1-Dereplication,3.2-Denoising,4-ESV,5-MultipleSequenceAlignment,6-ChimeraRemoval,7-PreClassification,8-Clustering_100,9-TaxaFilter_100,10-MultipletonsFilter_100,11-Subsampling_100,12-Lulu_100
10s,22144,19243,19243,19243 (14773 uniques),16086 (496 uniques),10440 (325 uniques),10440 (316 uniques),10440 (316 uniques),10440 (316 uniques),10440 (316 uniques),10424 (312 uniques),10410 (305 uniques),4999 (303 uniques),4999 (269 uniques)
110c,45326,39569,39569,39569 (17862 uniques),38132 (364 uniques),35779 (379 uniques),35779 (321 uniques),35465 (309 uniques),35465 (309 uniques),35465 (309 uniques),35234 (293 uniques),35232 (292 uniques),4999 (254 uniques),4999 (226 uniques)
111c,27202,22515,22515,22515 (9639 uniques),21961 (159 uniques),20451 (157 uniques),20451 (146 uniques),19864 (125 uniques),19864 (125 uniques),19864 (125 uniques),19864 (125 uniques),19862 (124 uniques),4999 (114 uniques),4999 (102 uniques)
112c,35420,29517,29517,29517 (10109 uniques),28949 (172 uniques),27659 (180 uniques),27659 (164 uniques),26943 (132 uniques),26943 (132 uniques),26943 (132 uniques),26943 (132 uniques),26943 (132 uniques),4999 (118 uniques),4999 (108 uniques)
113c,45694,40712,40712,40712 (16462 uniques),39261 (319 uniques),37183 (350 uniques),37166 (291 uniques),36619 (279 uniques),36619 (279 uniques),36619 (279 uniques),36231 (256 uniques),36223 (252 uniques),4999 (214 uniques),4999 (188 uniques)
114c,45756,38276,38276,38276 (13982 uniques),37603 (184 uniques),35926 (214 uniques),35913 (181 uniques),35153 (161 uniques),35153 (161 uniques),35153 (161 uniques),35120 (156 uniques),35115 (153 uniques),4999 (135 uniques),4999 (114 uniques)
115c,53640,46602,46602,46602 (18672 uniques),45123 (366 uniques),42754 (401 uniques),42724 (343 uniques),41923 (322 uniques),41923 (322 uniques),41923 (322 uniques),41209 (292 uniques),41207 (291 uniques),4999 (249 uniques),4999 (221 uniques)
116c,58271,50785,50785,50785 (18355 uniques),50052 (258 uniques),46969 (317 uniques),46967 (281 uniques),45317 (232 uniques),45317 (232 uniques),45317 (232 uniques),45309 (230 uniques),45305 (228 uniques),4999 (181 uniques),4999 (145 uniques)
117c,57629,49907,49907,49907 (22260 uniques),48265 (414 uniques),45048 (426 uniques),45035 (360 uniques),44086 (329 uniques),44086 (329 uniques),44086 (329 uniques),43733 (309 uniques),43717 (301 uniques),4999 (252 uniques),4999 (222 uniques)
118c,40014,35672,35672,35672 (13456 uniques),35164 (203 uniques),33468 (232 uniques),33455 (206 uniques),32750 (173 uniques),32750 (173 uniques),32750 (173 uniques),32734 (170 uniques),32732 (169 uniques),4999 (145 uniques),4999 (124 uniques)
119c,32411,27874,27874,27874 (9422 uniques),27343 (150 uniques),26194 (158 uniques),26194 (140 uniques),25532 (120 uniques),25532 (120 uniques),25532 (120 uniques),25532 (120 uniques),25530 (119 uniques),4999 (103 uniques),4999 (86 uniques)
11_AM21,88672,78555,78555,78555 (22883 uniques),75859 (810 uniques),72058 (682 uniques),71942 (655 uniques),70419 (605 uniques),70419 (605 uniques),70419 (605 uniques),69924 (580 uniques),69911 (573 uniques),4999 (364 uniques),4999 (350 uniques)
11_MSCAII,4382,3784,3784,3784 (1678 uniques),3684 (69 uniques),3613 (74 uniques),3579 (68 uniques),3579 (68 uniques),3579 (68 uniques),3579 (68 uniques),3371 (60 uniques),3369 (59 uniques),/,/
11_MSCAII_repeat,47005,42761,42761,42761 (13755 uniques),42676 (133 uniques),42377 (180 uniques),42377 (133 uniques),42377 (133 uniques),42377 (133 uniques),42377 (133 uniques),37601 (115 uniques),37599 (114 uniques),4999 (107 uniques),4999 (77 uniques)
11_MSCAII_repeat_1_10_dilution,57,/,/,/,/,/,/,/,/,/,/,/,/,/
11_T,30239,25982,25982,25982 (9306 uniques),25533 (130 uniques),23578 (133 uniques),23578 (108 uniques),22228 (82 uniques),22228 (82 uniques),22228 (82 uniques),22225 (81 uniques),22225 (81 uniques),4999 (73 uniques),4999 (62 uniques)
11c,69709,60779,60779,60779 (26843 uniques),58576 (578 uniques),54951 (582 uniques),54922 (512 uniques),53824 (477 uniques),53824 (477 uniques),53824 (477 uniques),53467 (450 uniques),53457 (445 uniques),4999 (349 uniques),4999 (312 uniques)
11s,10269,9137,9137,9137 (6859 uniques),7716 (248 uniques),5930 (189 uniques),5930 (188 uniques),5913 (187 uniques),5913 (187 uniques),5913 (187 uniques),5908 (186 uniques),5906 (185 uniques),4999 (185 uniques),4999 (179 uniques)
12_AM21,106467,94629,94629,94629 (26900 uniques),91808 (807 uniques),87684 (644 uniques),87529 (634 uniques),85437 (578 uniques),85437 (578 uniques),85437 (578 uniques),84949 (557 uniques),84939 (552 uniques),4999 (341 uniques),4999 (332 uniques)
12_MSCAII,17334,15107,15107,15107 (6658 uniques),14860 (176 uniques),14184 (174 uniques),14174 (161 uniques),14174 (161 uniques),14174 (161 uniques),14174 (161 uniques),13973 (150 uniques),13973 (150 uniques),4999 (145 uniques),4999 (134 uniques)
12_MSCAII_repeat,144445,128270,128270,128270 (40830 uniques),127107 (551 uniques),124567 (718 uniques),124397 (580 uniques),123736 (559 uniques),123736 (559 uniques),123736 (559 uniques),121577 (520 uniques),121565 (512 uniques),4999 (392 uniques),4999 (300 uniques)
12_MSCAII_repeat_1_10_dilution,1187,181,181,181 (172 uniques),37 (3 uniques),24 (2 uniques),24 (2 uniques),24 (2 uniques),24 (2 uniques),24 (2 uniques),24 (2 uniques),24 (2 uniques),/,/
12_T,41073,35050,35050,35050 (13781 uniques),34191 (252 uniques),31848 (257 uniques),31848 (234 uniques),30223 (202 uniques),30223 (202 uniques),30223 (202 uniques),30204 (201 uniques),30197 (197 uniques),4999 (174 uniques),4999 (152 uniques)
12c,101497,87182,87182,87182 (35136 uniques),84994 (602 uniques),80270 (638 uniques),80262 (554 uniques),78919 (513 uniques),78919 (513 uniques),78919 (513 uniques),78394 (499 uniques),78373 (486 uniques),4999 (371 uniques),4999 (315 uniques)
12s,11764,10073,10073,10073 (7678 uniques),8442 (278 uniques),5548 (178 uniques),5540 (173 uniques),5537 (172 uniques),5537 (172 uniques),5537 (172 uniques),5535 (171 uniques),5535 (171 uniques),4999 (171 uniques),4999 (169 uniques)
13_AM21,88912,81077,81077,81077 (24870 uniques),78369 (812 uniques),74445 (675 uniques),74374 (662 uniques),72398 (595 uniques),72398 (595 uniques),72398 (595 uniques),70561 (569 uniques),70555 (566 uniques),4999 (342 uniques),4999 (330 uniques)
13_MSCAII,9145,8027,8027,8027 (3881 uniques),7561 (146 uniques),7141 (131 uniques),7141 (122 uniques),7141 (122 uniques),7141 (122 uniques),7141 (122 uniques),7031 (116 uniques),7027 (114 uniques),4999 (114 uniques),4999 (109 uniques)
13_MSCAII_repeat,204585,181284,181284,181284 (66409 uniques),177853 (1152 uniques),169575 (1279 uniques),169367 (1057 uniques),165272 (935 uniques),165272 (935 uniques),165272 (935 uniques),160831 (837 uniques),160795 (817 uniques),4999 (451 uniques),4999 (348 uniques)
13_MSCAII_repeat_1_10_dilution,461,87,87,87 (81 uniques),15 (2 uniques),11 (1 uniques),11 (1 uniques),11 (1 uniques),11 (1 uniques),11 (1 uniques),11 (1 uniques),11 (1 uniques),/,/
13_T,35855,31743,31743,31743 (12647 uniques),30734 (262 uniques),28555 (260 uniques),28555 (242 uniques),26984 (208 uniques),26984 (208 uniques),26984 (208 uniques),26961 (205 uniques),26959 (204 uniques),4999 (187 uniques),4999 (166 uniques)
13c,95517,82201,82201,82201 (35031 uniques),80263 (654 uniques),75254 (678 uniques),75254 (603 uniques),73012 (545 uniques),73012 (545 uniques),73012 (545 uniques),72578 (518 uniques),72569 (513 uniques),4999 (371 uniques),4999 (332 uniques)
13s,18605,14878,14878,14878 (11343 uniques),12734 (355 uniques),8794 (257 uniques),8794 (247 uniques),8765 (246 uniques),8765 (246 uniques),8765 (246 uniques),8740 (241 uniques),8734 (238 uniques),4999 (238 uniques),4999 (223 uniques)
14_AM21,103282,91551,91551,91551 (28987 uniques),88521 (1000 uniques),83962 (807 uniques),83785 (783 uniques),81419 (713 uniques),81419 (713 uniques),81419 (713 uniques),79074 (677 uniques),79070 (675 uniques),4999 (443 uniques),4999 (436 uniques)
14_MSCAII,17714,15216,15216,15216 (7149 uniques),14651 (202 uniques),13739 (182 uniques),13723 (166 uniques),13723 (166 uniques),13723 (166 uniques),13723 (166 uniques),13556 (159 uniques),13552 (157 uniques),4999 (150 uniques),4999 (145 uniques)
14_MSCAII_repeat,179493,154555,154555,154555 (56490 uniques),151307 (891 uniques),144171 (1008 uniques),144070 (824 uniques),141091 (740 uniques),141091 (740 uniques),141091 (740 uniques),138401 (675 uniques),138371 (659 uniques),4999 (391 uniques),4999 (306 uniques)
14_T,34045,29740,29740,29740 (12447 uniques),29128 (198 uniques),26187 (201 uniques),26187 (179 uniques),24278 (124 uniques),24278 (124 uniques),24278 (124 uniques),24278 (124 uniques),24278 (124 uniques),4999 (120 uniques),4999 (97 uniques)
14c,92119,80689,80689,80689 (30240 uniques),78402 (645 uniques),73928 (660 uniques),73867 (557 uniques),73028 (530 uniques),73028 (530 uniques),73028 (530 uniques),71639 (469 uniques),71617 (458 uniques),4999 (331 uniques),4999 (283 uniques)
14s,19776,16851,16851,16851 (12667 uniques),14586 (418 uniques),10450 (295 uniques),10374 (284 uniques),10335 (282 uniques),10335 (282 uniques),10335 (282 uniques),10315 (279 uniques),10315 (279 uniques),4999 (278 uniques),4999 (259 uniques)
15_AM21,62646,55784,55784,55784 (19227 uniques),53603 (602 uniques),50655 (511 uniques),50560 (496 uniques),49767 (460 uniques),49767 (460 uniques),49767 (460 uniques),49314 (444 uniques),49304 (439 uniques),4999 (324 uniques),4999 (318 uniques)
15_MSCAII,22300,19564,19564,19564 (7656 uniques),19174 (155 uniques),18506 (149 uniques),18504 (134 uniques),18494 (133 uniques),18494 (133 uniques),18494 (133 uniques),18457 (128 uniques),18453 (126 uniques),4999 (117 uniques),4999 (113 uniques)
15_MSCAII_repeat,161296,140199,140199,140199 (45768 uniques),138052 (575 uniques),131999 (701 uniques),131977 (586 uniques),128115 (498 uniques),128115 (498 uniques),128115 (498 uniques),127490 (463 uniques),127448 (436 uniques),4999 (275 uniques),4999 (203 uniques)
15_MSCAII_repeat_1_10_dilution,131,78,78,78 (72 uniques),33 (4 uniques),16 (2 uniques),16 (2 uniques),16 (2 uniques),16 (2 uniques),16 (2 uniques),16 (2 uniques),16 (2 uniques),/,/
15_T,36861,30149,30149,30149 (11936 uniques),29352 (240 uniques),27136 (232 uniques),27136 (209 uniques),25602 (179 uniques),25602 (179 uniques),25602 (179 uniques),25594 (178 uniques),25592 (177 uniques),4999 (162 uniques),4999 (141 uniques)
15c,73656,63251,63251,63251 (26692 uniques),60769 (556 uniques),56742 (591 uniques),56713 (498 uniques),55652 (464 uniques),55652 (464 uniques),55652 (464 uniques),54101 (415 uniques),54084 (406 uniques),4999 (321 uniques),4999 (282 uniques)
16_AM21,98799,83310,83310,83310 (34052 uniques),79525 (1350 uniques),73577 (1082 uniques),73068 (1057 uniques),71638 (1022 uniques),71638 (1022 uniques),71638 (1022 uniques),69770 (981 uniques),69756 (974 uniques),4999 (656 uniques),4999 (641 uniques)
16_MSCAII,20475,17334,17334,17334 (6439 uniques),17032 (86 uniques),16597 (77 uniques),16597 (72 uniques),16579 (71 uniques),16579 (71 uniques),16579 (71 uniques),16570 (69 uniques),16570 (69 uniques),4999 (66 uniques),4999 (64 uniques)
16_MSCAII_repeat,144867,126397,126397,126397 (37129 uniques),125335 (358 uniques),121563 (426 uniques),121563 (386 uniques),112486 (249 uniques),112486 (249 uniques),112486 (249 uniques),112408 (243 uniques),112389 (230 uniques),4999 (158 uniques),4999 (117 uniques)
16_MSCAII_repeat_1_10_dilution,211,191,191,191 (141 uniques),147 (10 uniques),110 (7 uniques),110 (7 uniques),110 (7 uniques),110 (7 uniques),110 (7 uniques),110 (7 uniques),110 (7 uniques),/,/
16_T,33694,29026,29026,29026 (12712 uniques),28297 (215 uniques),25474 (219 uniques),25468 (185 uniques),23889 (155 uniques),23889 (155 uniques),23889 (155 uniques),23873 (152 uniques),23871 (151 uniques),4999 (145 uniques),4999 (115 uniques)
16c,79730,70076,70076,70076 (30962 uniques),67821 (566 uniques),63859 (613 uniques),63823 (521 uniques),62501 (490 uniques),62501 (490 uniques),62501 (490 uniques),62052 (461 uniques),62045 (457 uniques),4999 (375 uniques),4999 (326 uniques)
17_AM21,87420,77643,77643,77643 (26556 uniques),74785 (891 uniques),70014 (732 uniques),69854 (717 uniques),68107 (656 uniques),68107 (656 uniques),68107 (656 uniques),66935 (630 uniques),66926 (625 uniques),4999 (411 uniques),4999 (398 uniques)
17_MSCAII,48123,41370,41370,41370 (17060 uniques),40360 (303 uniques),38344 (316 uniques),38327 (269 uniques),37585 (251 uniques),37585 (251 uniques),37585 (251 uniques),37306 (234 uniques),37302 (232 uniques),4999 (205 uniques),4999 (173 uniques)
17_T,31851,26001,26001,26001 (9470 uniques),25382 (180 uniques),23737 (190 uniques),23737 (163 uniques),22243 (130 uniques),22243 (130 uniques),22243 (130 uniques),22243 (130 uniques),22243 (130 uniques),4999 (118 uniques),4999 (93 uniques)
17c,82270,70824,70824,70824 (27774 uniques),68451 (546 uniques),64732 (592 uniques),64704 (493 uniques),63961 (470 uniques),63961 (470 uniques),63961 (470 uniques),62520 (424 uniques),62504 (414 uniques),4999 (308 uniques),4999 (259 uniques)
18_AM21,74901,65236,65236,65236 (26510 uniques),62687 (886 uniques),58198 (756 uniques),58124 (735 uniques),56910 (685 uniques),56910 (685 uniques),56910 (685 uniques),56540 (665 uniques),56527 (658 uniques),4999 (494 uniques),4999 (479 uniques)
18_MSCAII,25822,22502,22502,22502 (10171 uniques),21841 (215 uniques),20755 (201 uniques),20745 (178 uniques),20304 (166 uniques),20304 (166 uniques),20304 (166 uniques),20190 (161 uniques),20186 (159 uniques),4999 (150 uniques),4999 (133 uniques)
18_T,32829,27910,27910,27910 (11707 uniques),27450 (181 uniques),24926 (198 uniques),24926 (175 uniques),23144 (128 uniques),23144 (128 uniques),23144 (128 uniques),23140 (127 uniques),23137 (125 uniques),4999 (117 uniques),4999 (100 uniques)
