	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
11_MSCAII_repeat	47005	42761	42761	42761 (13755 uniques)	42676 (133 uniques)	42377 (180 uniques)	42377 (133 uniques)	42377 (133 uniques)	42377 (133 uniques)	42377 (75 uniques)	37601 (62 uniques)	37601 (62 uniques)	4999 (58 uniques)	4999 (58 uniques)
11_MSCAII_repeat_1_10_dilution	57	/	/	/	/	/	/	/	/	/	/	/	/	/
11_T	30239	25982	25982	25982 (9306 uniques)	25533 (130 uniques)	23578 (133 uniques)	23578 (108 uniques)	22228 (82 uniques)	22228 (82 uniques)	22228 (50 uniques)	22225 (49 uniques)	22225 (49 uniques)	4999 (47 uniques)	4999 (47 uniques)
11c	69709	60779	60779	60779 (26843 uniques)	58576 (578 uniques)	54951 (582 uniques)	54922 (512 uniques)	53824 (477 uniques)	53824 (477 uniques)	53824 (334 uniques)	53467 (308 uniques)	53457 (303 uniques)	4999 (232 uniques)	4999 (231 uniques)
11s	10269	9137	9137	9137 (6859 uniques)	7716 (248 uniques)	5930 (189 uniques)	5930 (188 uniques)	5913 (187 uniques)	5913 (187 uniques)	5913 (165 uniques)	5908 (164 uniques)	5906 (163 uniques)	4999 (163 uniques)	4999 (162 uniques)
12_AM21	106467	94629	94629	94629 (26900 uniques)	91808 (807 uniques)	87684 (644 uniques)	87529 (634 uniques)	85437 (578 uniques)	85437 (578 uniques)	85437 (515 uniques)	84949 (496 uniques)	84943 (493 uniques)	4999 (284 uniques)	4999 (284 uniques)
12_MSCAII	17334	15107	15107	15107 (6658 uniques)	14860 (176 uniques)	14184 (174 uniques)	14174 (161 uniques)	14174 (161 uniques)	14174 (161 uniques)	14174 (123 uniques)	13973 (112 uniques)	13973 (112 uniques)	4999 (109 uniques)	4999 (109 uniques)
12_MSCAII_repeat	144445	128270	128270	128270 (40830 uniques)	127107 (551 uniques)	124567 (718 uniques)	124397 (580 uniques)	123736 (559 uniques)	123736 (559 uniques)	123736 (310 uniques)	121577 (288 uniques)	121577 (288 uniques)	4999 (205 uniques)	4999 (205 uniques)
12_MSCAII_repeat_1_10_dilution	1187	181	181	181 (172 uniques)	37 (3 uniques)	24 (2 uniques)	24 (2 uniques)	24 (2 uniques)	24 (2 uniques)	24 (2 uniques)	24 (2 uniques)	24 (2 uniques)	/	/
12_T	41073	35050	35050	35050 (13781 uniques)	34191 (252 uniques)	31848 (257 uniques)	31848 (234 uniques)	30223 (202 uniques)	30223 (202 uniques)	30223 (131 uniques)	30204 (130 uniques)	30202 (129 uniques)	4999 (106 uniques)	4999 (106 uniques)
12c	101497	87182	87182	87182 (35136 uniques)	84994 (602 uniques)	80270 (638 uniques)	80262 (554 uniques)	78919 (513 uniques)	78919 (513 uniques)	78919 (317 uniques)	78394 (306 uniques)	78384 (301 uniques)	4999 (220 uniques)	4999 (220 uniques)
12s	11764	10073	10073	10073 (7678 uniques)	8442 (278 uniques)	5548 (178 uniques)	5540 (173 uniques)	5537 (172 uniques)	5537 (172 uniques)	5537 (157 uniques)	5535 (156 uniques)	5535 (156 uniques)	4999 (156 uniques)	4999 (156 uniques)
13_AM21	88912	81077	81077	81077 (24870 uniques)	78369 (812 uniques)	74445 (675 uniques)	74374 (662 uniques)	72398 (595 uniques)	72398 (595 uniques)	72398 (516 uniques)	70561 (491 uniques)	70557 (489 uniques)	4999 (307 uniques)	4999 (306 uniques)
13_MSCAII	9145	8027	8027	8027 (3881 uniques)	7561 (146 uniques)	7141 (131 uniques)	7141 (122 uniques)	7141 (122 uniques)	7141 (122 uniques)	7141 (99 uniques)	7031 (94 uniques)	7027 (92 uniques)	4999 (92 uniques)	4999 (92 uniques)
13_MSCAII_repeat	204585	181284	181284	181284 (66409 uniques)	177853 (1152 uniques)	169575 (1279 uniques)	169367 (1057 uniques)	165272 (935 uniques)	165272 (935 uniques)	165272 (582 uniques)	160831 (510 uniques)	160811 (500 uniques)	4999 (257 uniques)	4999 (257 uniques)
13_MSCAII_repeat_1_10_dilution	461	87	87	87 (81 uniques)	15 (2 uniques)	11 (1 uniques)	11 (1 uniques)	11 (1 uniques)	11 (1 uniques)	11 (1 uniques)	11 (1 uniques)	11 (1 uniques)	/	/
13_T	35855	31743	31743	31743 (12647 uniques)	30734 (262 uniques)	28555 (260 uniques)	28555 (242 uniques)	26984 (208 uniques)	26984 (208 uniques)	26984 (145 uniques)	26961 (142 uniques)	26959 (141 uniques)	4999 (129 uniques)	4999 (129 uniques)
13c	95517	82201	82201	82201 (35031 uniques)	80263 (654 uniques)	75254 (678 uniques)	75254 (603 uniques)	73012 (545 uniques)	73012 (545 uniques)	73012 (374 uniques)	72578 (349 uniques)	72574 (347 uniques)	4999 (262 uniques)	4999 (262 uniques)
13s	18605	14878	14878	14878 (11343 uniques)	12734 (355 uniques)	8794 (257 uniques)	8794 (247 uniques)	8765 (246 uniques)	8765 (246 uniques)	8765 (209 uniques)	8740 (204 uniques)	8734 (201 uniques)	4999 (201 uniques)	4999 (201 uniques)
14_AM21	103282	91551	91551	91551 (28987 uniques)	88521 (1000 uniques)	83962 (807 uniques)	83785 (783 uniques)	81419 (713 uniques)	81419 (713 uniques)	81419 (641 uniques)	79074 (606 uniques)	79072 (605 uniques)	4999 (366 uniques)	4999 (365 uniques)
14_MSCAII	17714	15216	15216	15216 (7149 uniques)	14651 (202 uniques)	13739 (182 uniques)	13723 (166 uniques)	13723 (166 uniques)	13723 (166 uniques)	13723 (134 uniques)	13556 (127 uniques)	13554 (126 uniques)	4999 (122 uniques)	4999 (122 uniques)
14_MSCAII_repeat	179493	154555	154555	154555 (56490 uniques)	151307 (891 uniques)	144171 (1008 uniques)	144070 (824 uniques)	141091 (740 uniques)	141091 (740 uniques)	141091 (451 uniques)	138401 (401 uniques)	138379 (390 uniques)	4999 (208 uniques)	4999 (207 uniques)
14_T	34045	29740	29740	29740 (12447 uniques)	29128 (198 uniques)	26187 (201 uniques)	26187 (179 uniques)	24278 (124 uniques)	24278 (124 uniques)	24278 (64 uniques)	24278 (64 uniques)	24278 (64 uniques)	4999 (61 uniques)	4999 (61 uniques)
14c	92119	80689	80689	80689 (30240 uniques)	78402 (645 uniques)	73928 (660 uniques)	73867 (557 uniques)	73028 (530 uniques)	73028 (530 uniques)	73028 (376 uniques)	71639 (322 uniques)	71625 (315 uniques)	4999 (230 uniques)	4999 (230 uniques)
14s	19776	16851	16851	16851 (12667 uniques)	14586 (418 uniques)	10450 (295 uniques)	10374 (284 uniques)	10335 (282 uniques)	10335 (282 uniques)	10335 (241 uniques)	10315 (238 uniques)	10315 (238 uniques)	4999 (236 uniques)	4999 (236 uniques)
15_AM21	62646	55784	55784	55784 (19227 uniques)	53603 (602 uniques)	50655 (511 uniques)	50560 (496 uniques)	49767 (460 uniques)	49767 (460 uniques)	49767 (397 uniques)	49314 (382 uniques)	49306 (378 uniques)	4999 (263 uniques)	4999 (263 uniques)
15_MSCAII	22300	19564	19564	19564 (7656 uniques)	19174 (155 uniques)	18506 (149 uniques)	18504 (134 uniques)	18494 (133 uniques)	18494 (133 uniques)	18494 (109 uniques)	18457 (104 uniques)	18453 (102 uniques)	4999 (92 uniques)	4999 (92 uniques)
15_MSCAII_repeat	161296	140199	140199	140199 (45768 uniques)	138052 (575 uniques)	131999 (701 uniques)	131977 (586 uniques)	128115 (498 uniques)	128115 (498 uniques)	128115 (281 uniques)	127490 (249 uniques)	127471 (239 uniques)	4999 (142 uniques)	4999 (142 uniques)
15_MSCAII_repeat_1_10_dilution	131	78	78	78 (72 uniques)	33 (4 uniques)	16 (2 uniques)	16 (2 uniques)	16 (2 uniques)	16 (2 uniques)	16 (2 uniques)	16 (2 uniques)	16 (2 uniques)	/	/
15_T	36861	30149	30149	30149 (11936 uniques)	29352 (240 uniques)	27136 (232 uniques)	27136 (209 uniques)	25602 (179 uniques)	25602 (179 uniques)	25602 (112 uniques)	25594 (111 uniques)	25594 (111 uniques)	4999 (95 uniques)	4999 (95 uniques)
15c	73656	63251	63251	63251 (26692 uniques)	60769 (556 uniques)	56742 (591 uniques)	56713 (498 uniques)	55652 (464 uniques)	55652 (464 uniques)	55652 (312 uniques)	54101 (270 uniques)	54087 (263 uniques)	4999 (207 uniques)	4999 (207 uniques)
16_AM21	98799	83310	83310	83310 (34052 uniques)	79525 (1350 uniques)	73577 (1082 uniques)	73068 (1057 uniques)	71638 (1022 uniques)	71638 (1022 uniques)	71638 (923 uniques)	69770 (884 uniques)	69758 (878 uniques)	4999 (559 uniques)	4999 (559 uniques)
16_MSCAII	20475	17334	17334	17334 (6439 uniques)	17032 (86 uniques)	16597 (77 uniques)	16597 (72 uniques)	16579 (71 uniques)	16579 (71 uniques)	16579 (61 uniques)	16570 (59 uniques)	16570 (59 uniques)	4999 (56 uniques)	4999 (56 uniques)
16_MSCAII_repeat	144867	126397	126397	126397 (37129 uniques)	125335 (358 uniques)	121563 (426 uniques)	121563 (386 uniques)	112486 (249 uniques)	112486 (249 uniques)	112486 (131 uniques)	112408 (125 uniques)	112408 (125 uniques)	4999 (87 uniques)	4999 (87 uniques)
16_MSCAII_repeat_1_10_dilution	211	191	191	191 (141 uniques)	147 (10 uniques)	110 (7 uniques)	110 (7 uniques)	110 (7 uniques)	110 (7 uniques)	110 (7 uniques)	110 (7 uniques)	110 (7 uniques)	/	/
16_T	33694	29026	29026	29026 (12712 uniques)	28297 (215 uniques)	25474 (219 uniques)	25468 (185 uniques)	23889 (155 uniques)	23889 (155 uniques)	23889 (91 uniques)	23873 (88 uniques)	23871 (87 uniques)	4999 (79 uniques)	4999 (79 uniques)
16c	79730	70076	70076	70076 (30962 uniques)	67821 (566 uniques)	63859 (613 uniques)	63823 (521 uniques)	62501 (490 uniques)	62501 (490 uniques)	62501 (317 uniques)	62052 (289 uniques)	62050 (288 uniques)	4999 (231 uniques)	4999 (231 uniques)
17_AM21	87420	77643	77643	77643 (26556 uniques)	74785 (891 uniques)	70014 (732 uniques)	69854 (717 uniques)	68107 (656 uniques)	68107 (656 uniques)	68107 (575 uniques)	66935 (550 uniques)	66927 (546 uniques)	4999 (357 uniques)	4999 (357 uniques)
17_MSCAII	48123	41370	41370	41370 (17060 uniques)	40360 (303 uniques)	38344 (316 uniques)	38327 (269 uniques)	37585 (251 uniques)	37585 (251 uniques)	37585 (172 uniques)	37306 (157 uniques)	37302 (155 uniques)	4999 (136 uniques)	4999 (136 uniques)
17_T	31851	26001	26001	26001 (9470 uniques)	25382 (180 uniques)	23737 (190 uniques)	23737 (163 uniques)	22243 (130 uniques)	22243 (130 uniques)	22243 (69 uniques)	22243 (69 uniques)	22243 (69 uniques)	4999 (64 uniques)	4999 (64 uniques)
17c	82270	70824	70824	70824 (27774 uniques)	68451 (546 uniques)	64732 (592 uniques)	64704 (493 uniques)	63961 (470 uniques)	63961 (470 uniques)	63961 (315 uniques)	62520 (274 uniques)	62510 (269 uniques)	4999 (198 uniques)	4999 (198 uniques)
18_AM21	74901	65236	65236	65236 (26510 uniques)	62687 (886 uniques)	58198 (756 uniques)	58124 (735 uniques)	56910 (685 uniques)	56910 (685 uniques)	56910 (585 uniques)	56540 (566 uniques)	56534 (563 uniques)	4999 (400 uniques)	4999 (400 uniques)
18_MSCAII	25822	22502	22502	22502 (10171 uniques)	21841 (215 uniques)	20755 (201 uniques)	20745 (178 uniques)	20304 (166 uniques)	20304 (166 uniques)	20304 (122 uniques)	20190 (117 uniques)	20188 (116 uniques)	4999 (107 uniques)	4999 (107 uniques)
18_T	32829	27910	27910	27910 (11707 uniques)	27450 (181 uniques)	24926 (198 uniques)	24926 (175 uniques)	23144 (128 uniques)	23144 (128 uniques)	23144 (64 uniques)	23140 (63 uniques)	23140 (63 uniques)	4999 (61 uniques)	4999 (61 uniques)
18c	62360	54811	54811	54811 (26098 uniques)	52554 (555 uniques)	49035 (530 uniques)	49023 (466 uniques)	48648 (452 uniques)	48648 (452 uniques)	48648 (322 uniques)	48061 (293 uniques)	48053 (289 uniques)	4999 (245 uniques)	4999 (245 uniques)
19_AM21	93731	83433	83433	83433 (24036 uniques)	80568 (919 uniques)	76525 (708 uniques)	76106 (687 uniques)	74053 (651 uniques)	74053 (651 uniques)	74053 (607 uniques)	71861 (577 uniques)	71847 (570 uniques)	4999 (333 uniques)	4999 (332 uniques)
19_MSCAII	26977	23585	23585	23585 (9800 uniques)	22923 (205 uniques)	21696 (229 uniques)	21696 (187 uniques)	21448 (174 uniques)	21448 (174 uniques)	21448 (121 uniques)	21101 (114 uniques)	21099 (113 uniques)	4999 (102 uniques)	4999 (102 uniques)
19_T	24146	20849	20849	20849 (8700 uniques)	20212 (191 uniques)	18501 (194 uniques)	18499 (183 uniques)	17666 (156 uniques)	17666 (156 uniques)	17666 (108 uniques)	17639 (105 uniques)	17637 (104 uniques)	4999 (99 uniques)	4999 (99 uniques)
19c	77777	49608	49608	49608 (20318 uniques)	49035 (400 uniques)	47525 (408 uniques)	47525 (377 uniques)	47503 (375 uniques)	47503 (375 uniques)	47503 (267 uniques)	47189 (253 uniques)	47189 (253 uniques)	4999 (222 uniques)	4999 (222 uniques)
1_AM21	63203	55624	55624	55624 (24088 uniques)	52914 (780 uniques)	48620 (626 uniques)	48351 (611 uniques)	47053 (571 uniques)	47053 (571 uniques)	47053 (507 uniques)	45025 (489 uniques)	45017 (485 uniques)	4999 (366 uniques)	4999 (365 uniques)
1_MSCAII	50279	44815	44815	44815 (18430 uniques)	43534 (356 uniques)	41499 (402 uniques)	41486 (336 uniques)	40668 (312 uniques)	40668 (312 uniques)	40668 (200 uniques)	39635 (160 uniques)	39633 (159 uniques)	4999 (134 uniques)	4999 (133 uniques)
1c	80527	70566	70566	70566 (31249 uniques)	67469 (676 uniques)	62839 (647 uniques)	62794 (580 uniques)	61439 (541 uniques)	61439 (541 uniques)	61439 (395 uniques)	60496 (362 uniques)	60476 (352 uniques)	4999 (261 uniques)	4999 (261 uniques)
1s	18044	15082	15082	15082 (11664 uniques)	12769 (386 uniques)	8260 (251 uniques)	8260 (243 uniques)	8256 (241 uniques)	8256 (241 uniques)	8256 (206 uniques)	8209 (196 uniques)	8197 (190 uniques)	4999 (189 uniques)	4999 (189 uniques)
20_AM21	61138	54760	54760	54760 (14514 uniques)	54361 (454 uniques)	53641 (433 uniques)	53616 (421 uniques)	53365 (408 uniques)	53365 (408 uniques)	53365 (360 uniques)	51581 (336 uniques)	51577 (334 uniques)	4999 (250 uniques)	4999 (249 uniques)
20_MSCAII	29720	26109	26109	26109 (11060 uniques)	25335 (217 uniques)	24075 (238 uniques)	24075 (202 uniques)	23893 (192 uniques)	23893 (192 uniques)	23893 (133 uniques)	23475 (124 uniques)	23475 (124 uniques)	4999 (111 uniques)	4999 (111 uniques)
20_T	25242	22139	22139	22139 (10376 uniques)	21128 (249 uniques)	18883 (225 uniques)	18862 (208 uniques)	18190 (190 uniques)	18190 (190 uniques)	18190 (140 uniques)	18097 (137 uniques)	18095 (136 uniques)	4999 (131 uniques)	4999 (131 uniques)
20c	58937	50072	50072	50072 (20322 uniques)	49497 (346 uniques)	47434 (332 uniques)	47420 (313 uniques)	46918 (290 uniques)	46918 (290 uniques)	46918 (220 uniques)	46410 (205 uniques)	46410 (205 uniques)	4999 (166 uniques)	4999 (166 uniques)
21_AM21	108655	97410	97410	97410 (26119 uniques)	94596 (918 uniques)	90845 (750 uniques)	90552 (728 uniques)	88109 (671 uniques)	88109 (671 uniques)	88109 (615 uniques)	87037 (592 uniques)	87018 (582 uniques)	4999 (307 uniques)	4999 (307 uniques)
21_MSCAII	37538	32241	32241	32241 (12133 uniques)	31648 (141 uniques)	30330 (148 uniques)	30330 (136 uniques)	29025 (102 uniques)	29025 (102 uniques)	29025 (65 uniques)	29008 (63 uniques)	29008 (63 uniques)	4999 (63 uniques)	4999 (63 uniques)
21_T	24950	21590	21590	21590 (9738 uniques)	20440 (227 uniques)	16993 (195 uniques)	16993 (164 uniques)	16592 (157 uniques)	16592 (157 uniques)	16592 (111 uniques)	16513 (108 uniques)	16513 (108 uniques)	4999 (94 uniques)	4999 (94 uniques)
21c	100612	88213	88213	88213 (36064 uniques)	85666 (695 uniques)	80882 (760 uniques)	80803 (627 uniques)	78556 (576 uniques)	78556 (576 uniques)	78556 (389 uniques)	77483 (349 uniques)	77479 (347 uniques)	4999 (258 uniques)	4999 (258 uniques)
22_AM21	103937	89876	89876	89876 (30934 uniques)	87230 (801 uniques)	82167 (677 uniques)	82112 (652 uniques)	78554 (553 uniques)	78554 (553 uniques)	78554 (483 uniques)	78106 (463 uniques)	78094 (457 uniques)	4999 (277 uniques)	4999 (277 uniques)
22_MSCAII	45519	38781	38781	38781 (13746 uniques)	38122 (157 uniques)	36575 (159 uniques)	36575 (151 uniques)	35229 (113 uniques)	35229 (113 uniques)	35229 (73 uniques)	35209 (70 uniques)	35207 (69 uniques)	4999 (64 uniques)	4999 (64 uniques)
