"","Genus","Species"
"Otu00001",NA,NA
"Otu00002","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu00003","Prochlorococcus","marinus"
"Otu00004",NA,NA
"Otu00005",NA,NA
"Otu00006",NA,NA
"Otu00009",NA,NA
"Otu00010","Prochlorococcus","marinus"
"Otu00011",NA,NA
"Otu00012",NA,"aestuarianus/alginolyticus/antiquarius/atypicus/azureus/campbellii/coralliilyticus/diabolicus/fluvialis/fortis/galatheae/harveyi/hyugaensis/jasicida/mediterranei/midae/mytili/natriegens/neocaledonicus/nereis/owensii/parahaemolyticus/pelagius/qinhuangdaora/rotiferianus/sagamiensis/sonorensis/thiocycli/variabilis/vulnificus"
"Otu00013",NA,"americanum/arachidis/betae/broomeae/canariense/centrosemae/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/neotropicale/oligotrophicum/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense"
"Otu00014",NA,NA
"Otu00015","Cupriavidus","campinensis/pauculus/plantarum/respiraculi/taiwanensis"
"Otu00016",NA,NA
"Otu00017",NA,NA
"Otu00018",NA,"dubius/faviae/litorea"
"Otu00019",NA,NA
"Otu00020","Erythrobacter","citreus/flavus/nanhaisediminis/pelagi/piscidermidis"
"Otu00021",NA,"halocynthiae/italica"
"Otu00022",NA,NA
"Otu00023",NA,NA
"Otu00024","Vibrio","aestuarianus/fortis/pelagius"
"Otu00025","Vibrio","Parahaemolyticus/alfacsensis/alginolyticus/algoinfesta/antiquarius/atypicus/azureus/brasiliensis/campbellii/caribbeanicus/coralliilyticus/diabolicus/equitatus/europaeus/galatheae/gallicus/harveyi/hepatarius/ichthyoenteri/natriegens/neptunius/owensii/parahaemolyticus/ponticus/rotiferianus/sagamiensis/scophthalmi/sinaloensis/tapetis/tubiashii/variabilis/xuii"
"Otu00026","Oceanobacter","kriegii"
"Otu00027","Psychrobacter","alimentarius/aquimaris/faecalis/glacincola/muriicola/namhaensis/nivimaris/pacificensis/piscatorii/piscidermidis"
"Otu00028",NA,NA
"Otu00029",NA,NA
"Otu00030",NA,NA
"Otu00031",NA,NA
"Otu00032",NA,NA
"Otu00033",NA,NA
"Otu00034",NA,NA
"Otu00036",NA,NA
"Otu00037",NA,NA
"Otu00038","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
"Otu00039",NA,NA
"Otu00040",NA,"aquimaris/marinistellae/seosinensis"
"Otu00041","Aestuariibacter","aggregatus"
"Otu00043",NA,NA
"Otu00044",NA,NA
"Otu00045",NA,NA
"Otu00046","Ruegeria","atlantica/lacuscaerulensis/pomeroyi"
"Otu00047","Shimia","isoporae/marina"
"Otu00048",NA,"caerulea/multivorans"
"Otu00049","Thalassobius","mediterraneus"
"Otu00050","Celeribacter","ethanolicus/halophilus/naphthalenivorans"
"Otu00051",NA,NA
"Otu00052",NA,NA
"Otu00053",NA,"atlantica/mobilis/scottomollicae/stellata"
"Otu00054","Vibrio","aestuarianus/alginolyticus/barjaei/hippocampi/ichthyoenteri/mediterranei/shiloi/shilonii"
"Otu00055",NA,"pelagius/pomeroyi/salinaria/xiamenensis"
"Otu00056",NA,NA
"Otu00057","Marinomonas","communis/ostreistagni"
"Otu00058",NA,NA
"Otu00059",NA,NA
"Otu00060",NA,NA
"Otu00061",NA,NA
"Otu00062",NA,NA
"Otu00063","Leeuwenhoekiella","blandensis/palythoae"
"Otu00064","Halomonas","alkaliantarctica/alkaliphila/andesensis/aquamarina/axialensis/campaniensis/hydrothermalis/lutescens/meridiana/taeheungii/venusta/zhanjiangensis/zhaodongensis"
"Otu00066",NA,NA
"Otu00068","Donghicola","eburneus"
"Otu00069",NA,NA
"Otu00070",NA,NA
"Otu00071",NA,NA
"Otu00072",NA,NA
"Otu00073",NA,NA
"Otu00074",NA,NA
"Otu00075",NA,NA
"Otu00076",NA,NA
"Otu00077",NA,NA
"Otu00078","Aureicoccus","marinus"
"Otu00079","Nonlabens","sediminis/tegetincola"
"Otu00080",NA,NA
"Otu00081",NA,NA
"Otu00082",NA,NA
"Otu00083",NA,NA
"Otu00084",NA,NA
"Otu00085",NA,NA
"Otu00086",NA,NA
"Otu00087",NA,NA
"Otu00088",NA,NA
"Otu00089",NA,NA
"Otu00090","Thalassotalea","ganghwensis"
"Otu00091","Pelomonas","aquatica/puraquae/saccharophila"
"Otu00092",NA,NA
"Otu00093",NA,NA
"Otu00094",NA,NA
"Otu00095",NA,NA
"Otu00097",NA,NA
"Otu00098",NA,NA
"Otu00099",NA,NA
"Otu00100",NA,NA
"Otu00103","Sagittula","stellata"
"Otu00104",NA,NA
"Otu00105",NA,NA
"Otu00106","Lentilitoribacter","donghaensis"
"Otu00107","Neptunomonas","acidivorans/concharum"
"Otu00108",NA,NA
"Otu00109",NA,NA
"Otu00110",NA,NA
"Otu00111",NA,NA
"Otu00112","Thalassotalea","loyana"
"Otu00113",NA,NA
"Otu00114",NA,NA
"Otu00115","Neptuniibacter","caesariensis"
"Otu00116",NA,NA
"Otu00117",NA,NA
"Otu00118",NA,NA
"Otu00119",NA,NA
"Otu00120",NA,NA
"Otu00121","Pseudooctadecabacter","jejudonensis"
"Otu00122",NA,NA
"Otu00123",NA,NA
"Otu00124","Hyphomonas","atlantica/johnsonii"
"Otu00125",NA,NA
"Otu00126",NA,NA
"Otu00127",NA,NA
"Otu00128",NA,NA
"Otu00129","Tenacibaculum","amylolyticum/jejuense"
"Otu00130","Pseudoalteromonas","agarivorans/antarctica/arctica/citrea/distincta/elyakovii/espejiana/flavipulchra/gracilis/haloplanktis/issachenkonii/marina/nigrifaciens/paragorgicola/spongiae/translucida"
"Otu00131",NA,NA
"Otu00132",NA,NA
"Otu00133",NA,NA
"Otu00135",NA,NA
"Otu00136",NA,NA
"Otu00137","Psychrobacter","marincola"
"Otu00138",NA,NA
"Otu00139",NA,NA
"Otu00141",NA,NA
"Otu00142","Vibrio","anguillarum/artabrorum/atlanticus/celticus/chagasii/crassostreae/cyclitrophicus/gallaecicus/gigantis/harveyi/kanaloae/lentus/pomeroyi/splendidus/tasmaniensis/toranzoniae"
"Otu00143",NA,NA
"Otu00144","Marivita","cryptomonadis/lacus/litorea/roseacus"
"Otu00145",NA,NA
"Otu00146",NA,NA
"Otu00147",NA,NA
"Otu00148",NA,NA
"Otu00149",NA,NA
"Otu00150",NA,NA
"Otu00151",NA,NA
"Otu00152",NA,NA
"Otu00153","Alteromonas","lipolytica"
"Otu00154",NA,NA
"Otu00155",NA,NA
"Otu00156",NA,NA
"Otu00157",NA,NA
"Otu00158","Psychrobacter","cibarius/fozii/glacincola/immobilis/namhaensis"
"Otu00159",NA,"frisia/halophilus/neptunius/sabulilitoris"
"Otu00160",NA,NA
"Otu00161",NA,NA
"Otu00162",NA,NA
"Otu00163","Pseudoalteromonas","phenolica"
"Otu00164",NA,NA
"Otu00165","Mesoflavibacter","sabulilitoris/zeaxanthinifaciens"
"Otu00166",NA,NA
"Otu00167",NA,NA
"Otu00168","Pyruvatibacter","mobilis"
"Otu00169",NA,NA
"Otu00170",NA,NA
"Otu00171","Vibrio","panuliri/ponticus/zhuhaiensis"
"Otu00172","Vibrio","coralliilyticus/hangzhouensis/harveyi/maritimus/ponticus/rotiferianus/variabilis"
"Otu00173",NA,NA
"Otu00175",NA,NA
"Otu00178",NA,"algicola/aquimaris/beolgyonensis/gallaeciensis/gilvus/guttiformis/litoralis/pseudonitzschiae"
"Otu00179",NA,NA
"Otu00180",NA,NA
"Otu00181",NA,NA
"Otu00182",NA,NA
"Otu00183",NA,NA
"Otu00184","Ruegeria","conchae"
"Otu00186",NA,NA
"Otu00187",NA,NA
"Otu00188",NA,NA
"Otu00190","Psychrobacter","celer"
"Otu00191","Halodesulfovibrio","marinisediminis/spirochaetisodalis"
"Otu00192",NA,"crassostreae/lacisalsi/lutimaris"
"Otu00194",NA,NA
"Otu00195",NA,NA
"Otu00196",NA,NA
"Otu00197",NA,NA
"Otu00198",NA,NA
"Otu00199","Primorskyibacter","insulae"
"Otu00200",NA,NA
"Otu00201",NA,NA
"Otu00203","Actibacterium","mucosum"
"Otu00204",NA,NA
"Otu00206",NA,NA
"Otu00207",NA,NA
"Otu00208",NA,NA
"Otu00209",NA,NA
"Otu00211",NA,NA
"Otu00212",NA,NA
"Otu00213",NA,NA
"Otu00214",NA,"aequororis/chungkukjangi/horikoshii/massiliensis/sinduriensis/xylanilyticus"
"Otu00215",NA,NA
"Otu00216",NA,NA
"Otu00217",NA,NA
"Otu00218",NA,NA
"Otu00220",NA,NA
"Otu00222",NA,NA
"Otu00223",NA,NA
"Otu00224",NA,NA
"Otu00225",NA,NA
"Otu00226",NA,NA
"Otu00227",NA,"insulare/mobilis/neustonicus"
"Otu00228","Thalassotalea","agarivorans/euphylliae/montiporae"
"Otu00229",NA,NA
"Otu00230",NA,NA
"Otu00232",NA,NA
"Otu00233",NA,NA
"Otu00235",NA,NA
"Otu00237",NA,NA
"Otu00238",NA,NA
"Otu00239",NA,NA
"Otu00240",NA,NA
"Otu00241","Sulfitobacter","pontiacus"
"Otu00243",NA,NA
"Otu00245",NA,NA
"Otu00246",NA,NA
"Otu00247",NA,NA
"Otu00249",NA,NA
"Otu00250",NA,NA
"Otu00251","Exiguobacterium","acetylicum/aestuarii/alkaliphilum/aquaticum/arabatum/aurantiacum/chiriqhucha/himgiriensis/homiense/marinum/mexicanum/panipatensis/pavilionensis/profundum"
"Otu00252",NA,NA
"Otu00253",NA,NA
"Otu00254",NA,NA
"Otu00256",NA,NA
"Otu00257",NA,NA
"Otu00258",NA,NA
"Otu00259",NA,NA
"Otu00260",NA,NA
"Otu00261",NA,NA
"Otu00262",NA,NA
"Otu00263",NA,NA
"Otu00264",NA,NA
"Otu00265",NA,NA
"Otu00266",NA,NA
"Otu00267",NA,NA
"Otu00268",NA,NA
"Otu00269",NA,NA
"Otu00270",NA,NA
"Otu00272","Fangia","hongkongensis"
"Otu00273",NA,NA
"Otu00274",NA,NA
"Otu00276",NA,NA
"Otu00277",NA,NA
"Otu00278",NA,NA
"Otu00279",NA,NA
"Otu00280",NA,NA
"Otu00281","Propionigenium","maris"
"Otu00282",NA,NA
"Otu00285","Oleibacter","marinus"
"Otu00289",NA,NA
"Otu00290",NA,NA
"Otu00291",NA,NA
"Otu00292",NA,NA
"Otu00294",NA,NA
"Otu00295",NA,NA
"Otu00297",NA,NA
"Otu00298",NA,NA
"Otu00299",NA,NA
"Otu00301",NA,NA
"Otu00302",NA,NA
"Otu00303","Aliiglaciecola","lipolytica/litoralis"
"Otu00305",NA,NA
"Otu00306","Gilvibacter","sediminis"
"Otu00307",NA,NA
"Otu00308",NA,NA
"Otu00309",NA,NA
"Otu00310",NA,NA
"Otu00311",NA,NA
"Otu00312",NA,NA
"Otu00313",NA,NA
"Otu00314",NA,NA
"Otu00315","Tropicibacter","phthalicicus"
"Otu00316",NA,NA
"Otu00317",NA,NA
"Otu00318",NA,NA
"Otu00319",NA,NA
"Otu00320",NA,NA
"Otu00321",NA,NA
"Otu00322","Litoribrevibacter","albus"
"Otu00323",NA,NA
"Otu00324",NA,NA
"Otu00325",NA,NA
"Otu00326",NA,NA
"Otu00327",NA,NA
"Otu00328",NA,NA
"Otu00329",NA,NA
"Otu00330",NA,NA
"Otu00331","Celeribacter","indicus"
"Otu00332",NA,NA
"Otu00334",NA,NA
"Otu00336",NA,NA
