"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"15c"	"63251 (26692 uniques)"	"60769 (556 uniques)"	"56742 (591 uniques)"
"16_AM21"	"83310 (34052 uniques)"	"79525 (1350 uniques)"	"73577 (1082 uniques)"
"16_MSCAII"	"17334 (6439 uniques)"	"17032 (86 uniques)"	"16597 (77 uniques)"
"16_MSCAII_repeat_1_10_dilution"	"191 (141 uniques)"	"147 (10 uniques)"	"110 (7 uniques)"
"16_MSCAII_repeat"	"126397 (37129 uniques)"	"125335 (358 uniques)"	"121563 (426 uniques)"
"16_T"	"29026 (12712 uniques)"	"28297 (215 uniques)"	"25474 (219 uniques)"
"16c"	"70076 (30962 uniques)"	"67821 (566 uniques)"	"63859 (613 uniques)"
"17_AM21"	"77643 (26556 uniques)"	"74785 (891 uniques)"	"70014 (732 uniques)"
"17_MSCAII"	"41370 (17060 uniques)"	"40360 (303 uniques)"	"38344 (316 uniques)"
"17_T"	"26001 (9470 uniques)"	"25382 (180 uniques)"	"23737 (190 uniques)"
"17c"	"70824 (27774 uniques)"	"68451 (546 uniques)"	"64732 (592 uniques)"
"18_AM21"	"65236 (26510 uniques)"	"62687 (886 uniques)"	"58198 (756 uniques)"
"18_MSCAII"	"22502 (10171 uniques)"	"21841 (215 uniques)"	"20755 (201 uniques)"
"18_T"	"27910 (11707 uniques)"	"27450 (181 uniques)"	"24926 (198 uniques)"
"18c"	"54811 (26098 uniques)"	"52554 (555 uniques)"	"49035 (530 uniques)"
"19_AM21"	"83433 (24036 uniques)"	"80568 (919 uniques)"	"76525 (708 uniques)"
"19_MSCAII"	"23585 (9800 uniques)"	"22923 (205 uniques)"	"21696 (229 uniques)"
"19_T"	"20849 (8700 uniques)"	"20212 (191 uniques)"	"18501 (194 uniques)"
"19c"	"49608 (20318 uniques)"	"49035 (400 uniques)"	"47525 (408 uniques)"
"1_AM21"	"55624 (24088 uniques)"	"52914 (780 uniques)"	"48620 (626 uniques)"
"1_MSCAII"	"44815 (18430 uniques)"	"43534 (356 uniques)"	"41499 (402 uniques)"
"1c"	"70566 (31249 uniques)"	"67469 (676 uniques)"	"62839 (647 uniques)"
"1s"	"15082 (11664 uniques)"	"12769 (386 uniques)"	"8260 (251 uniques)"
"20_AM21"	"54760 (14514 uniques)"	"54361 (454 uniques)"	"53641 (433 uniques)"
"20_MSCAII"	"26109 (11060 uniques)"	"25335 (217 uniques)"	"24075 (238 uniques)"
"20_T"	"22139 (10376 uniques)"	"21128 (249 uniques)"	"18883 (225 uniques)"
"20c"	"50072 (20322 uniques)"	"49497 (346 uniques)"	"47434 (332 uniques)"
"21_AM21"	"97410 (26119 uniques)"	"94596 (918 uniques)"	"90845 (750 uniques)"
"21_MSCAII"	"32241 (12133 uniques)"	"31648 (141 uniques)"	"30330 (148 uniques)"
"21_T"	"21590 (9738 uniques)"	"20440 (227 uniques)"	"16993 (195 uniques)"
"21c"	"88213 (36064 uniques)"	"85666 (695 uniques)"	"80882 (760 uniques)"
"22_AM21"	"89876 (30934 uniques)"	"87230 (801 uniques)"	"82167 (677 uniques)"
"22_MSCAII"	"38781 (13746 uniques)"	"38122 (157 uniques)"	"36575 (159 uniques)"
"22_T"	"34293 (14563 uniques)"	"33269 (299 uniques)"	"30537 (285 uniques)"
"22c"	"73795 (32570 uniques)"	"71144 (704 uniques)"	"66682 (675 uniques)"
"23_AM21"	"82549 (36096 uniques)"	"79207 (1209 uniques)"	"73115 (1027 uniques)"
"23_MSCAII"	"47167 (15313 uniques)"	"46606 (214 uniques)"	"44583 (221 uniques)"
"23_T"	"37922 (13533 uniques)"	"36989 (246 uniques)"	"34661 (246 uniques)"
"23c"	"81091 (33028 uniques)"	"78921 (680 uniques)"	"74994 (696 uniques)"
"24_AM21"	"69724 (29616 uniques)"	"66569 (996 uniques)"	"60988 (817 uniques)"
"24_MSCAII"	"40445 (16097 uniques)"	"39761 (208 uniques)"	"37434 (243 uniques)"
"24_T"	"28442 (12599 uniques)"	"27294 (296 uniques)"	"24383 (265 uniques)"
"24c"	"58650 (26056 uniques)"	"57383 (532 uniques)"	"54334 (494 uniques)"
"25_AM21"	"74662 (30245 uniques)"	"71556 (1068 uniques)"	"66321 (878 uniques)"
"25_MSCAII"	"41375 (17650 uniques)"	"40437 (309 uniques)"	"38525 (348 uniques)"
"25_T"	"16979 (7525 uniques)"	"16229 (177 uniques)"	"14632 (156 uniques)"
"25c"	"65940 (31432 uniques)"	"63722 (702 uniques)"	"59018 (678 uniques)"
"26_AM21"	"74744 (28182 uniques)"	"72004 (996 uniques)"	"67461 (861 uniques)"
"26_MSCAII"	"24384 (11602 uniques)"	"23468 (239 uniques)"	"21983 (250 uniques)"
"26_T"	"20467 (7822 uniques)"	"19845 (157 uniques)"	"18610 (144 uniques)"
"26c"	"59928 (27804 uniques)"	"57439 (679 uniques)"	"53683 (619 uniques)"
"27_AM21"	"79946 (29298 uniques)"	"77051 (1048 uniques)"	"72289 (857 uniques)"
"27_MSCAII"	"20796 (7760 uniques)"	"20389 (113 uniques)"	"19536 (107 uniques)"
"27_T"	"15520 (6883 uniques)"	"14880 (179 uniques)"	"13496 (151 uniques)"
"27c"	"57542 (24260 uniques)"	"55842 (529 uniques)"	"52969 (527 uniques)"
"28_AM21"	"77280 (28226 uniques)"	"74315 (1340 uniques)"	"70036 (1098 uniques)"
"28_MSCAII"	"25638 (9848 uniques)"	"25144 (120 uniques)"	"23677 (119 uniques)"
"28_T"	"28277 (10957 uniques)"	"27399 (256 uniques)"	"25026 (258 uniques)"
"28c"	"43878 (18708 uniques)"	"42010 (608 uniques)"	"39877 (521 uniques)"
"29_AM21"	"110232 (39114 uniques)"	"107144 (1029 uniques)"	"100092 (881 uniques)"
"29_MSCAII"	"28306 (10584 uniques)"	"27872 (130 uniques)"	"26539 (127 uniques)"
"29_T"	"22371 (9685 uniques)"	"21374 (228 uniques)"	"19208 (213 uniques)"
"29c"	"27281 (12716 uniques)"	"26093 (342 uniques)"	"24745 (335 uniques)"
"2_AM21"	"51517 (22433 uniques)"	"48578 (852 uniques)"	"44879 (685 uniques)"
"2_MSCAII"	"24585 (10957 uniques)"	"23671 (250 uniques)"	"22292 (274 uniques)"
"2c"	"65791 (26478 uniques)"	"63719 (566 uniques)"	"60342 (593 uniques)"
"2s"	"13449 (10071 uniques)"	"11527 (368 uniques)"	"7527 (237 uniques)"
"30_AM21"	"103473 (29166 uniques)"	"100301 (1041 uniques)"	"95735 (848 uniques)"
"30_MSCAII"	"17392 (6869 uniques)"	"16994 (91 uniques)"	"16375 (92 uniques)"
"30_T"	"15270 (5582 uniques)"	"14671 (140 uniques)"	"13524 (122 uniques)"
"30c"	"72516 (23227 uniques)"	"70859 (486 uniques)"	"68780 (484 uniques)"
"31_AM21"	"98082 (34743 uniques)"	"94668 (1138 uniques)"	"88671 (981 uniques)"
"31_MSCAII"	"29120 (11572 uniques)"	"28360 (258 uniques)"	"27286 (261 uniques)"
"31_T"	"22888 (9228 uniques)"	"22239 (184 uniques)"	"20445 (190 uniques)"
"31c"	"75534 (29110 uniques)"	"73196 (624 uniques)"	"68993 (598 uniques)"
"32_AM21"	"80388 (33353 uniques)"	"77237 (1048 uniques)"	"70561 (896 uniques)"
"32_MSCAII"	"27872 (12016 uniques)"	"26838 (253 uniques)"	"25473 (262 uniques)"
"32_T"	"32977 (13137 uniques)"	"31871 (320 uniques)"	"28942 (301 uniques)"
"32c"	"57555 (25708 uniques)"	"56402 (555 uniques)"	"53398 (540 uniques)"
"33_AM21"	"61714 (21576 uniques)"	"58929 (841 uniques)"	"55167 (672 uniques)"
"33_MSCAII"	"24010 (7399 uniques)"	"23727 (124 uniques)"	"23117 (127 uniques)"
"33_T"	"15350 (7292 uniques)"	"14861 (186 uniques)"	"13577 (152 uniques)"
"33c"	"63949 (24916 uniques)"	"61984 (508 uniques)"	"58614 (551 uniques)"
"34_AM21"	"58829 (24870 uniques)"	"56128 (935 uniques)"	"51963 (813 uniques)"
"34_MSCAII"	"26284 (9406 uniques)"	"25884 (117 uniques)"	"24801 (113 uniques)"
"34_T"	"31072 (9514 uniques)"	"30597 (184 uniques)"	"29279 (173 uniques)"
"34c"	"56851 (25259 uniques)"	"54419 (601 uniques)"	"51217 (573 uniques)"
"35_AM21"	"76539 (32332 uniques)"	"73921 (853 uniques)"	"67236 (760 uniques)"
"35_MSCAII"	"17622 (8469 uniques)"	"17254 (127 uniques)"	"16010 (118 uniques)"
"35_T"	"18395 (6380 uniques)"	"17843 (152 uniques)"	"16918 (130 uniques)"
"35c"	"67588 (25423 uniques)"	"65529 (523 uniques)"	"62469 (533 uniques)"
"36_AM21"	"86755 (36878 uniques)"	"83511 (1202 uniques)"	"76943 (1045 uniques)"
"36_MSCAII"	"33480 (13208 uniques)"	"32873 (188 uniques)"	"31256 (208 uniques)"
"36_T"	"24534 (8671 uniques)"	"23901 (192 uniques)"	"22749 (161 uniques)"
"36c"	"42750 (19522 uniques)"	"41214 (458 uniques)"	"38822 (412 uniques)"
"37_AM21"	"98664 (35471 uniques)"	"95270 (1186 uniques)"	"89232 (988 uniques)"
"37_MSCAII"	"27458 (10888 uniques)"	"26827 (213 uniques)"	"25497 (236 uniques)"
"37_T"	"40094 (9884 uniques)"	"39666 (117 uniques)"	"38642 (128 uniques)"
"37c"	"54920 (20245 uniques)"	"54403 (359 uniques)"	"52970 (348 uniques)"
"38_AM21"	"74379 (36391 uniques)"	"71249 (1340 uniques)"	"64925 (1136 uniques)"
"38_MSCAII"	"23095 (9012 uniques)"	"22499 (181 uniques)"	"21470 (191 uniques)"
"38_T"	"24931 (9093 uniques)"	"24199 (191 uniques)"	"22874 (170 uniques)"
"38c"	"45076 (18246 uniques)"	"44195 (445 uniques)"	"42656 (418 uniques)"
"39_AM21"	"63414 (22266 uniques)"	"61194 (654 uniques)"	"58146 (571 uniques)"
"39_MSCAII"	"28996 (11044 uniques)"	"28471 (142 uniques)"	"27145 (160 uniques)"
"39_T"	"9437 (4099 uniques)"	"9274 (128 uniques)"	"8927 (126 uniques)"
"39c"	"62668 (21560 uniques)"	"62005 (361 uniques)"	"60484 (382 uniques)"
"3_AM21"	"66164 (23097 uniques)"	"63775 (591 uniques)"	"60258 (498 uniques)"
"3_MSCAII"	"26394 (9909 uniques)"	"25842 (130 uniques)"	"24727 (116 uniques)"
"3c"	"44135 (21343 uniques)"	"42353 (536 uniques)"	"39119 (482 uniques)"
"3s"	"9102 (7431 uniques)"	"7344 (237 uniques)"	"4475 (147 uniques)"
"40_AM21"	"43014 (20008 uniques)"	"40729 (775 uniques)"	"37238 (617 uniques)"
"40_MSCAII"	"25977 (9584 uniques)"	"25634 (140 uniques)"	"24477 (152 uniques)"
"40_T"	"15477 (5830 uniques)"	"15260 (182 uniques)"	"14938 (184 uniques)"
"40c"	"54009 (26804 uniques)"	"51364 (630 uniques)"	"47061 (554 uniques)"
"41_MSCAII"	"24606 (9605 uniques)"	"24193 (147 uniques)"	"23092 (165 uniques)"
"41_T"	"33972 (15979 uniques)"	"32793 (297 uniques)"	"30381 (294 uniques)"
"41c"	"59966 (28938 uniques)"	"57674 (631 uniques)"	"53367 (640 uniques)"
"42_MSCAII"	"25229 (10562 uniques)"	"24677 (142 uniques)"	"23330 (156 uniques)"
"42_T"	"19780 (9134 uniques)"	"19217 (210 uniques)"	"18298 (191 uniques)"
"42c"	"51234 (20759 uniques)"	"50535 (405 uniques)"	"48815 (387 uniques)"
"43_MSCAII"	"30180 (11855 uniques)"	"29452 (226 uniques)"	"28113 (249 uniques)"
"43_T"	"26406 (11822 uniques)"	"25270 (239 uniques)"	"23828 (224 uniques)"
"43c"	"60494 (22999 uniques)"	"59035 (425 uniques)"	"56623 (454 uniques)"
"44_MSCAII"	"20467 (9018 uniques)"	"19857 (190 uniques)"	"18740 (199 uniques)"
"44_T"	"38497 (15681 uniques)"	"37444 (322 uniques)"	"35489 (309 uniques)"
"44c"	"73979 (25747 uniques)"	"73024 (398 uniques)"	"70096 (437 uniques)"
"45_MSCAII"	"27870 (10706 uniques)"	"27423 (152 uniques)"	"26331 (151 uniques)"
"45_T"	"36951 (15120 uniques)"	"35929 (280 uniques)"	"34155 (269 uniques)"
"45c"	"49730 (19082 uniques)"	"48949 (326 uniques)"	"46660 (354 uniques)"
"46_MSCAII"	"27549 (10104 uniques)"	"27006 (138 uniques)"	"26047 (153 uniques)"
"46_T"	"45837 (19171 uniques)"	"44400 (341 uniques)"	"41562 (325 uniques)"
"46c"	"70212 (18949 uniques)"	"69496 (286 uniques)"	"67189 (265 uniques)"
"47_AM21"	"63211 (29829 uniques)"	"60270 (1057 uniques)"	"54663 (882 uniques)"
"47_MSCAII"	"33601 (13761 uniques)"	"33092 (158 uniques)"	"31390 (173 uniques)"
"47_T"	"35300 (15249 uniques)"	"34279 (254 uniques)"	"32324 (249 uniques)"
"47c"	"40184 (14348 uniques)"	"38899 (410 uniques)"	"37321 (410 uniques)"
"48_AM21"	"62696 (26241 uniques)"	"60423 (751 uniques)"	"56005 (651 uniques)"
"48_MSCAII"	"28975 (11340 uniques)"	"28481 (154 uniques)"	"27328 (161 uniques)"
"48_T"	"23636 (9986 uniques)"	"22899 (196 uniques)"	"21871 (188 uniques)"
"48c"	"76046 (29546 uniques)"	"73638 (554 uniques)"	"69735 (586 uniques)"
"49_AM21"	"86734 (23182 uniques)"	"83970 (920 uniques)"	"80683 (689 uniques)"
"49_MSCAII"	"26952 (9026 uniques)"	"25886 (201 uniques)"	"24779 (182 uniques)"
"49_T"	"18966 (8966 uniques)"	"18140 (169 uniques)"	"16782 (161 uniques)"
"49c"	"29820 (12577 uniques)"	"28732 (281 uniques)"	"26892 (299 uniques)"
"4_AM21"	"77540 (26154 uniques)"	"74307 (987 uniques)"	"70301 (798 uniques)"
"4_MSCAII"	"31384 (11559 uniques)"	"30881 (145 uniques)"	"29800 (137 uniques)"
"4c"	"54953 (24022 uniques)"	"52808 (618 uniques)"	"49745 (595 uniques)"
"4s"	"12391 (9663 uniques)"	"10167 (324 uniques)"	"6118 (200 uniques)"
"50_AM21"	"88305 (27273 uniques)"	"85627 (852 uniques)"	"81781 (692 uniques)"
"50_MSCAII"	"20723 (7200 uniques)"	"19727 (167 uniques)"	"18977 (146 uniques)"
"50_T"	"29555 (12785 uniques)"	"28666 (227 uniques)"	"26821 (215 uniques)"
"50c"	"17645 (6124 uniques)"	"17227 (121 uniques)"	"16529 (120 uniques)"
"51_AM21"	"68528 (24041 uniques)"	"65738 (831 uniques)"	"61712 (659 uniques)"
"51_MSCAII"	"30161 (13752 uniques)"	"28784 (288 uniques)"	"26713 (285 uniques)"
"51_T"	"33473 (13075 uniques)"	"32754 (218 uniques)"	"30767 (266 uniques)"
"51c"	"15193 (4789 uniques)"	"14858 (111 uniques)"	"14408 (105 uniques)"
"52_AM21"	"80926 (25361 uniques)"	"77793 (1099 uniques)"	"73965 (894 uniques)"
"52_MSCAII"	"18547 (6670 uniques)"	"17656 (138 uniques)"	"17000 (123 uniques)"
"52_T"	"30238 (12718 uniques)"	"29523 (216 uniques)"	"27467 (212 uniques)"
"52c"	"24052 (11047 uniques)"	"23025 (278 uniques)"	"21682 (262 uniques)"
"53_AM21"	"59704 (16302 uniques)"	"59307 (502 uniques)"	"58321 (451 uniques)"
"53_MSCAII"	"24687 (9426 uniques)"	"23468 (213 uniques)"	"22296 (206 uniques)"
"53_T"	"9179 (4505 uniques)"	"8907 (90 uniques)"	"8145 (77 uniques)"
"53c"	"22174 (7206 uniques)"	"21789 (157 uniques)"	"20910 (140 uniques)"
"54_AM21"	"53835 (25667 uniques)"	"51124 (899 uniques)"	"46318 (727 uniques)"
"54_MSCAII"	"22598 (9132 uniques)"	"21782 (177 uniques)"	"20717 (154 uniques)"
"54_T"	"31829 (12090 uniques)"	"31121 (203 uniques)"	"29097 (256 uniques)"
"54c"	"25079 (9467 uniques)"	"24563 (190 uniques)"	"23375 (187 uniques)"
"55_AM21"	"67450 (24282 uniques)"	"64632 (789 uniques)"	"60556 (637 uniques)"
"55_MSCAII"	"167737 (48375 uniques)"	"165170 (555 uniques)"	"159933 (605 uniques)"
"55_T"	"30765 (11374 uniques)"	"30093 (187 uniques)"	"28423 (221 uniques)"
"55c"	"27315 (10406 uniques)"	"26775 (189 uniques)"	"25402 (177 uniques)"
"56_AM21"	"102157 (27050 uniques)"	"99222 (1006 uniques)"	"94929 (778 uniques)"
"56_MSCAII"	"117319 (47640 uniques)"	"113533 (972 uniques)"	"106235 (939 uniques)"
"56_T"	"28155 (10076 uniques)"	"27631 (208 uniques)"	"26309 (205 uniques)"
"56c"	"28698 (13035 uniques)"	"27413 (293 uniques)"	"25574 (295 uniques)"
"57_AM21"	"92876 (25849 uniques)"	"90096 (899 uniques)"	"85988 (739 uniques)"
"57_MSCAII"	"53949 (15174 uniques)"	"53828 (104 uniques)"	"53675 (134 uniques)"
"57_T"	"19035 (7853 uniques)"	"18490 (152 uniques)"	"17220 (206 uniques)"
"57c"	"28980 (12297 uniques)"	"27942 (267 uniques)"	"26518 (284 uniques)"
"58_AM21"	"78540 (24175 uniques)"	"75455 (875 uniques)"	"71786 (703 uniques)"
"58_MSCAII"	"7089 (2609 uniques)"	"6963 (106 uniques)"	"6683 (89 uniques)"
"58_T"	"20178 (7947 uniques)"	"19592 (138 uniques)"	"18259 (203 uniques)"
