"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"6c"	"54507 (25849 uniques)"	"52093 (579 uniques)"	"48135 (558 uniques)"
"6s"	"28437 (18906 uniques)"	"25698 (666 uniques)"	"19308 (443 uniques)"
"70_AM21"	"79677 (21774 uniques)"	"77210 (667 uniques)"	"73982 (580 uniques)"
"70_T"	"10552 (2631 uniques)"	"10220 (121 uniques)"	"9936 (93 uniques)"
"70c"	"30198 (11070 uniques)"	"29699 (177 uniques)"	"28536 (188 uniques)"
"71_AM21"	"63149 (19150 uniques)"	"61108 (547 uniques)"	"58357 (452 uniques)"
"71_T"	"10438 (1967 uniques)"	"10213 (32 uniques)"	"10077 (25 uniques)"
"71c"	"24896 (10632 uniques)"	"24234 (226 uniques)"	"22750 (215 uniques)"
"72_AM21"	"73016 (24142 uniques)"	"70318 (842 uniques)"	"66109 (701 uniques)"
"72_T"	"11346 (3790 uniques)"	"10848 (133 uniques)"	"10263 (114 uniques)"
"72c"	"25022 (7507 uniques)"	"24611 (124 uniques)"	"23673 (104 uniques)"
"73_AM21"	"78919 (24976 uniques)"	"76172 (843 uniques)"	"72135 (687 uniques)"
"73_T"	"17291 (3620 uniques)"	"17028 (83 uniques)"	"16769 (67 uniques)"
"73c"	"40485 (16567 uniques)"	"39208 (345 uniques)"	"37180 (374 uniques)"
"73c_repeat"	"126611 (44682 uniques)"	"123435 (759 uniques)"	"117415 (923 uniques)"
"74_AM21"	"67238 (26413 uniques)"	"64375 (945 uniques)"	"59707 (743 uniques)"
"74_T"	"9249 (1632 uniques)"	"9092 (11 uniques)"	"8999 (5 uniques)"
"74c"	"25439 (7642 uniques)"	"25017 (121 uniques)"	"24180 (116 uniques)"
"75_AM21"	"80207 (29695 uniques)"	"77484 (880 uniques)"	"72486 (755 uniques)"
"75_T"	"6151 (1395 uniques)"	"5966 (26 uniques)"	"5921 (22 uniques)"
"75c"	"24871 (12211 uniques)"	"23771 (220 uniques)"	"21392 (199 uniques)"
"76_AM21"	"74025 (27164 uniques)"	"71152 (944 uniques)"	"65402 (777 uniques)"
"76_T"	"9949 (2634 uniques)"	"9565 (82 uniques)"	"9260 (65 uniques)"
"76c"	"22736 (9902 uniques)"	"21884 (273 uniques)"	"20594 (252 uniques)"
"77_AM21"	"74970 (31209 uniques)"	"73595 (514 uniques)"	"70079 (480 uniques)"
"77_T"	"9855 (1940 uniques)"	"9673 (39 uniques)"	"9557 (30 uniques)"
"77c"	"23807 (7946 uniques)"	"23356 (158 uniques)"	"22280 (147 uniques)"
"78_AM21"	"82002 (23279 uniques)"	"79445 (702 uniques)"	"75805 (564 uniques)"
"78_T"	"14053 (4429 uniques)"	"13558 (148 uniques)"	"12785 (113 uniques)"
"78c"	"20284 (9074 uniques)"	"19715 (209 uniques)"	"18436 (210 uniques)"
"79_AM21"	"53851 (22926 uniques)"	"51274 (886 uniques)"	"47376 (702 uniques)"
"79_T"	"10434 (2710 uniques)"	"10076 (105 uniques)"	"9651 (77 uniques)"
"79c"	"17242 (7089 uniques)"	"16841 (140 uniques)"	"16028 (142 uniques)"
"7_AM21"	"62533 (21305 uniques)"	"60016 (871 uniques)"	"56752 (708 uniques)"
"7_MSCAII"	"25202 (11138 uniques)"	"24282 (296 uniques)"	"23044 (293 uniques)"
"7c"	"71418 (29410 uniques)"	"69124 (592 uniques)"	"65001 (585 uniques)"
"7s"	"12229 (9900 uniques)"	"9921 (288 uniques)"	"6145 (182 uniques)"
"80_AM21"	"55793 (20031 uniques)"	"53412 (704 uniques)"	"50113 (586 uniques)"
"80_T"	"8890 (2882 uniques)"	"8440 (111 uniques)"	"7961 (92 uniques)"
"80c"	"19961 (8131 uniques)"	"19481 (143 uniques)"	"18465 (154 uniques)"
"81_AM21"	"68231 (25333 uniques)"	"66113 (608 uniques)"	"61760 (548 uniques)"
"81_T"	"8264 (1938 uniques)"	"8012 (61 uniques)"	"7806 (47 uniques)"
"81c"	"33047 (11846 uniques)"	"32476 (212 uniques)"	"30937 (228 uniques)"
"82_AM21"	"73386 (25056 uniques)"	"70557 (874 uniques)"	"66414 (666 uniques)"
"82_T"	"7306 (1605 uniques)"	"7111 (45 uniques)"	"6982 (35 uniques)"
"82c"	"28328 (12949 uniques)"	"26985 (318 uniques)"	"25205 (324 uniques)"
"83_AM21"	"59427 (17288 uniques)"	"59052 (550 uniques)"	"58216 (528 uniques)"
"83_T"	"9283 (2217 uniques)"	"9081 (65 uniques)"	"8848 (50 uniques)"
"83c"	"27903 (9057 uniques)"	"27458 (147 uniques)"	"26390 (154 uniques)"
"84_AM21"	"79636 (31583 uniques)"	"76700 (977 uniques)"	"70817 (838 uniques)"
"84_T"	"8781 (1965 uniques)"	"8563 (71 uniques)"	"8449 (56 uniques)"
"84c"	"28401 (9244 uniques)"	"27864 (169 uniques)"	"26808 (155 uniques)"
"85_AM21"	"58400 (26002 uniques)"	"55590 (1118 uniques)"	"51199 (907 uniques)"
"85_T"	"15945 (4415 uniques)"	"15340 (173 uniques)"	"14570 (108 uniques)"
"85c"	"21239 (8437 uniques)"	"20637 (177 uniques)"	"19341 (163 uniques)"
"86_AM21"	"57638 (26261 uniques)"	"54885 (909 uniques)"	"50316 (767 uniques)"
"86_T"	"10663 (2703 uniques)"	"10245 (89 uniques)"	"9955 (75 uniques)"
"86c"	"30235 (12470 uniques)"	"29261 (285 uniques)"	"27776 (309 uniques)"
"87_AM21"	"49914 (18360 uniques)"	"47541 (730 uniques)"	"44498 (596 uniques)"
"87_T"	"5054 (1067 uniques)"	"4946 (14 uniques)"	"4908 (9 uniques)"
"87c"	"25284 (9156 uniques)"	"24729 (194 uniques)"	"23521 (199 uniques)"
"88_AM21"	"67937 (24822 uniques)"	"65330 (876 uniques)"	"61387 (755 uniques)"
"88_T"	"11244 (3453 uniques)"	"10892 (97 uniques)"	"10544 (79 uniques)"
"88c"	"24288 (11488 uniques)"	"23475 (278 uniques)"	"21997 (270 uniques)"
"89_AM21"	"69707 (32243 uniques)"	"66464 (1150 uniques)"	"60769 (934 uniques)"
"89_T"	"18541 (2968 uniques)"	"18304 (28 uniques)"	"18201 (22 uniques)"
"89c"	"54818 (19368 uniques)"	"53883 (299 uniques)"	"51344 (370 uniques)"
"8_AM21"	"88042 (34355 uniques)"	"84468 (990 uniques)"	"78567 (860 uniques)"
"8_MSCAII"	"35388 (14706 uniques)"	"34460 (329 uniques)"	"32778 (341 uniques)"
"8c"	"50800 (20829 uniques)"	"50243 (416 uniques)"	"48535 (413 uniques)"
"8s"	"16016 (12557 uniques)"	"13515 (389 uniques)"	"8698 (259 uniques)"
"90_AM21"	"78877 (18485 uniques)"	"76401 (735 uniques)"	"74034 (585 uniques)"
"90_T"	"7294 (1191 uniques)"	"7202 (14 uniques)"	"7171 (10 uniques)"
"90c"	"33339 (12890 uniques)"	"32356 (245 uniques)"	"30859 (264 uniques)"
"91_AM21"	"79889 (31511 uniques)"	"78379 (524 uniques)"	"74834 (470 uniques)"
"91_T"	"11944 (2324 uniques)"	"11737 (55 uniques)"	"11577 (43 uniques)"
"91c"	"33201 (13143 uniques)"	"32574 (209 uniques)"	"30790 (215 uniques)"
"92_AM21"	"76514 (28023 uniques)"	"73633 (986 uniques)"	"69031 (798 uniques)"
"92_T"	"10042 (2947 uniques)"	"9621 (91 uniques)"	"9196 (70 uniques)"
"92c"	"35031 (12731 uniques)"	"34331 (219 uniques)"	"32636 (238 uniques)"
"93_AM21"	"55317 (23011 uniques)"	"54182 (435 uniques)"	"51624 (395 uniques)"
"93c"	"105591 (40092 uniques)"	"102689 (673 uniques)"	"97028 (769 uniques)"
"94_AM21"	"60978 (19503 uniques)"	"58471 (662 uniques)"	"55459 (527 uniques)"
"94c"	"114207 (37199 uniques)"	"112581 (522 uniques)"	"106850 (633 uniques)"
"95_AM21"	"56393 (19715 uniques)"	"54351 (496 uniques)"	"51202 (422 uniques)"
"95c"	"118151 (35674 uniques)"	"116756 (375 uniques)"	"110900 (562 uniques)"
"96_AM21"	"66392 (20178 uniques)"	"63774 (799 uniques)"	"60493 (624 uniques)"
"96c"	"39485 (17881 uniques)"	"38228 (324 uniques)"	"36069 (356 uniques)"
"97_AM21"	"72230 (25890 uniques)"	"69532 (955 uniques)"	"64628 (774 uniques)"
"97c"	"36267 (12684 uniques)"	"35456 (231 uniques)"	"33698 (235 uniques)"
"98_AM21"	"83164 (25748 uniques)"	"80332 (895 uniques)"	"76124 (755 uniques)"
"98c"	"34311 (13822 uniques)"	"33666 (226 uniques)"	"32113 (238 uniques)"
"99_AM21"	"114594 (48199 uniques)"	"110971 (1270 uniques)"	"102108 (1126 uniques)"
"99c"	"45111 (13366 uniques)"	"44519 (201 uniques)"	"42983 (242 uniques)"
"9_AM21"	"70411 (24756 uniques)"	"67918 (650 uniques)"	"63458 (549 uniques)"
"9_MSCAII"	"26952 (11731 uniques)"	"26269 (256 uniques)"	"25056 (264 uniques)"
"9c"	"67165 (31881 uniques)"	"64634 (716 uniques)"	"59583 (638 uniques)"
"9s"	"12302 (10059 uniques)"	"9874 (280 uniques)"	"5858 (174 uniques)"
"EB_buffer"	"413 (292 uniques)"	"303 (10 uniques)"	"273 (8 uniques)"
"Ext._contrl_A10"	"451 (319 uniques)"	"334 (16 uniques)"	"272 (10 uniques)"
"Ext._contrl_A12"	"235 (184 uniques)"	"133 (6 uniques)"	"101 (5 uniques)"
"Ext._contrl_A5"	"141 (129 uniques)"	"78 (3 uniques)"	"77 (3 uniques)"
"Ext._contrl_B4"	"151 (131 uniques)"	"53 (5 uniques)"	"40 (4 uniques)"
"Ext._contrl_B7"	"84 (65 uniques)"	"27 (3 uniques)"	"27 (3 uniques)"
"Ext._contrl_C10"	"106 (92 uniques)"	"54 (3 uniques)"	"34 (2 uniques)"
"Ext._contrl_C12"	"60341 (14171 uniques)"	"60021 (47 uniques)"	"59787 (74 uniques)"
"Ext._contrl_C1"	"236 (178 uniques)"	"179 (7 uniques)"	"172 (7 uniques)"
"Ext._contrl_E10"	"37365 (8839 uniques)"	"37173 (36 uniques)"	"36992 (43 uniques)"
"Ext._contrl_E12"	"68110 (15133 uniques)"	"67899 (57 uniques)"	"67620 (92 uniques)"
"Ext._contrl_G10"	"28597 (7062 uniques)"	"28406 (25 uniques)"	"28104 (35 uniques)"
"MGAL_Extraction_neg_control_7_19_22"	"12286 (2970 uniques)"	"12136 (77 uniques)"	"11898 (70 uniques)"
"MGAL_Extraction_neg_control_repeated_plate4_PCR2"	"81 (77 uniques)"	"32 (3 uniques)"	"11 (2 uniques)"
"NTC1_Plate1_PCR1"	"98 (90 uniques)"	"17 (3 uniques)"	"14 (2 uniques)"
"NTC1_Plate2_PCR1"	"155 (128 uniques)"	"79 (5 uniques)"	"50 (4 uniques)"
"NTC1_Plate3_PCR1"	"97 (84 uniques)"	"52 (4 uniques)"	"47 (3 uniques)"
"NTC1_Plate4_PCR1"	"370 (210 uniques)"	"289 (5 uniques)"	"280 (4 uniques)"
"NTC1_Plate4_PCR2"	"293 (170 uniques)"	"219 (6 uniques)"	"219 (6 uniques)"
"NTC2_Plate1_PCR1"	"69 (57 uniques)"	"39 (5 uniques)"	"22 (3 uniques)"
"NTC2_Plate2_PCR1"	"96 (94 uniques)"	"39 (2 uniques)"	"12 (1 uniques)"
"NTC2_Plate3_PCR1"	"756 (323 uniques)"	"696 (3 uniques)"	"677 (2 uniques)"
"NTC2_Plate5_PCR1"	"121 (108 uniques)"	"53 (3 uniques)"	"38 (2 uniques)"
"NTC3_Plate1_PCR1"	"141 (125 uniques)"	"55 (2 uniques)"	"52 (2 uniques)"
"NTC3_Plate2_PCR1"	"670 (304 uniques)"	"616 (3 uniques)"	"610 (2 uniques)"
"NTC3_Plate3_PCR1"	"315 (181 uniques)"	"248 (8 uniques)"	"212 (4 uniques)"
"NTC3_Plate5_PCR1"	"444 (240 uniques)"	"364 (3 uniques)"	"360 (3 uniques)"
"PTC1_Plate1_PCR1"	"15418 (8375 uniques)"	"14557 (377 uniques)"	"12917 (297 uniques)"
"PTC1_Plate2_PCR1"	"13763 (7751 uniques)"	"12926 (330 uniques)"	"11400 (254 uniques)"
"PTC1_Plate3_PCR1"	"55477 (25537 uniques)"	"53902 (793 uniques)"	"49986 (681 uniques)"
"PTC1_Plate4_PCR1"	"22632 (11267 uniques)"	"21621 (471 uniques)"	"19711 (381 uniques)"
"PTC1_Plate4_PCR2"	"134461 (51488 uniques)"	"131912 (1290 uniques)"	"125075 (1184 uniques)"
"PTC1_Plate5_PCR1"	"105762 (42084 uniques)"	"103566 (1030 uniques)"	"98567 (911 uniques)"
