sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
81_AM21	947	109	143	125	137	110	92	99	64	81	50	59	26	26	14	10	5	1
81_T	62	0	0	0	4	1	2	2	1	3	4	0	1	0	1	1	0	0
81c	243	60	73	90	83	41	45	26	25	19	9	13	11	7	5	2	0	0
82_AM21	1200	39	70	61	62	74	63	74	61	52	54	53	43	25	18	11	5	4
82_T	35	2	1	4	1	1	2	4	2	0	0	0	0	0	0	2	0	0
82c	433	68	53	33	14	31	29	29	22	12	18	8	9	4	5	4	1	2
83_AM21	644	34	32	26	17	29	10	9	13	13	16	8	10	7	3	1	1	0
83_T	55	1	4	4	1	1	3	5	1	1	1	0	1	0	1	0	0	0
83c	171	39	28	45	58	37	29	20	9	9	4	8	3	5	1	2	1	0
84_AM21	1453	116	181	174	143	130	113	111	99	93	76	63	53	43	14	15	4	3
84_T	60	0	0	0	1	2	3	1	3	3	2	1	0	1	1	1	0	1
84c	188	24	27	35	50	31	33	19	13	16	8	14	12	5	2	1	1	0
85_AM21	1347	56	120	80	99	90	85	82	67	59	53	66	37	36	20	10	3	5
85_T	143	8	16	11	22	12	8	13	9	9	9	4	3	1	4	1	0	0
85c	230	27	40	41	48	40	36	26	21	19	10	9	10	4	1	0	0	0
86_AM21	1341	66	137	99	129	93	83	82	80	81	68	46	42	30	12	11	0	5
86_T	85	5	5	6	3	5	8	7	7	1	0	0	2	1	1	2	0	0
86c	321	75	54	22	18	23	32	28	19	11	15	5	11	9	3	2	1	1
87_AM21	1015	34	57	54	61	50	54	48	44	35	38	30	20	22	9	9	4	4
87_T	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
87c	202	55	47	47	55	33	32	29	14	12	10	8	13	2	1	1	2	0
88_AM21	1209	65	119	81	113	80	60	62	79	53	46	50	31	27	19	13	4	1
88_T	100	9	5	14	12	5	4	7	3	7	3	4	2	1	0	0	0	0
88c	364	56	49	30	24	21	32	25	20	15	16	11	15	7	4	5	0	1
89_AM21	1797	62	120	134	135	149	123	106	115	76	77	74	44	46	22	18	7	5
89_T	25	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0
89c	393	123	130	173	91	85	80	67	31	39	33	22	16	11	4	3	0	1
8_AM21	1703	79	132	115	152	143	123	117	120	107	94	93	56	51	19	12	7	5
8_MSCAII	421	75	58	29	20	25	30	28	14	14	21	5	7	11	2	2	0	0
8c	654	55	55	59	45	31	43	38	22	25	18	16	13	7	4	2	1	0
8s	606	26	31	44	41	40	52	64	53	53	40	39	20	28	9	13	3	2
90_AM21	726	46	47	36	32	43	39	23	42	32	10	29	33	19	6	7	2	3
90_T	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90c	373	65	45	29	11	20	41	27	18	12	16	10	8	8	4	2	1	0
91_AM21	865	39	55	69	73	59	67	83	68	64	39	33	21	23	11	15	4	4
91_T	51	1	2	0	1	3	3	5	0	1	6	0	0	0	0	0	0	0
91c	310	55	54	59	42	49	36	35	31	22	16	14	10	10	3	3	0	1
92_AM21	1451	60	88	77	109	93	82	85	74	64	57	54	49	26	18	12	7	3
92_T	91	5	5	6	1	4	5	10	2	2	5	1	2	0	0	0	1	0
92c	277	62	45	83	77	60	40	28	20	24	12	19	8	11	2	2	2	1
93_AM21	753	37	46	40	38	45	65	66	42	47	24	10	14	29	3	7	0	5
93c	1143	241	183	106	78	91	107	78	76	63	57	55	36	25	13	5	3	0
94_AM21	908	39	44	43	39	45	57	41	44	44	35	30	33	23	5	9	5	2
94c	720	225	261	246	221	205	154	111	94	77	43	51	35	22	8	6	5	1
95_AM21	750	44	88	68	74	67	59	55	50	40	41	26	23	15	8	5	2	0
95c	607	262	293	333	272	181	151	89	84	74	41	42	37	20	10	8	2	0
96_AM21	926	36	52	40	58	50	49	49	59	49	39	37	24	24	17	11	2	4
96c	517	91	68	40	23	34	36	21	26	34	34	16	16	18	6	2	0	1
97_AM21	1281	74	113	121	96	84	90	93	82	69	60	51	35	41	7	11	4	4
97c	292	56	56	73	52	60	41	27	22	25	19	8	6	6	4	1	1	0
98_AM21	1217	54	117	90	106	87	88	58	72	73	56	47	26	25	12	11	5	3
98c	300	53	56	71	48	40	34	30	19	23	14	21	11	10	1	3	0	0
99_AM21	2124	140	254	236	244	198	182	190	166	142	97	107	52	58	30	20	4	4
99c	244	74	75	88	59	46	32	24	22	18	13	18	6	9	4	1	0	0
9_AM21	1143	67	99	114	88	109	85	78	77	60	39	45	35	21	21	17	5	3
9_MSCAII	299	47	37	26	13	11	20	23	7	5	8	5	8	1	2	1	0	0
9c	1068	111	144	137	97	103	90	91	69	79	81	58	30	36	29	13	7	6
9s	409	15	16	28	25	23	27	34	33	30	27	29	25	22	6	5	2	1
EB_buffer	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ext._contrl_A10	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ext._contrl_A12	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ext._contrl_A5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ext._contrl_B4	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ext._contrl_B7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ext._contrl_C10	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ext._contrl_C12	104	20	2	2	0	2	0	3	2	0	2	2	0	0	0	1	0	0
Ext._contrl_C1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ext._contrl_E10	55	10	7	1	1	0	0	3	0	1	1	0	0	0	0	0	0	0
Ext._contrl_E12	92	42	20	2	1	0	0	2	0	1	1	2	0	2	0	0	0	0
Ext._contrl_G10	42	10	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ext._contrl_G12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGAL_Extraction_neg_control_7_19_22	70	4	2	1	3	1	3	2	2	0	3	1	1	0	0	0	0	0
MGAL_Extraction_neg_control_repeated_plate4_PCR2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC1_Plate1_PCR1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC1_Plate2_PCR1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC1_Plate3_PCR1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC1_Plate4_PCR1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC1_Plate4_PCR2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC2_Plate1_PCR1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NTC2_Plate2_PCR1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC2_Plate3_PCR1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC2_Plate5_PCR1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC3_Plate1_PCR1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC3_Plate2_PCR1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC3_Plate3_PCR1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC3_Plate5_PCR1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTC1_Plate1_PCR1	390	23	21	17	17	18	20	20	20	13	8	16	9	12	5	5	2	0
PTC1_Plate2_PCR1	343	14	22	18	12	14	18	19	23	16	18	17	8	8	1	2	1	2
PTC1_Plate3_PCR1	880	71	91	65	73	63	54	80	63	51	49	24	24	16	8	9	4	3
PTC1_Plate4_PCR1	468	26	26	20	27	17	20	29	15	24	12	14	20	8	5	5	3	4
PTC1_Plate4_PCR2	1419	148	182	136	128	103	119	123	99	78	69	53	37	34	4	8	4	2
PTC1_Plate5_PCR1	1113	104	119	101	88	64	71	86	65	67	39	37	28	22	12	8	2	1
