sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
17_T	254	60	70	65	42	53	46	34	29	24	22	10	8	6	5	2	0	0
17c	759	169	134	72	67	78	72	54	40	30	36	30	24	11	10	5	1	1
18_AM21	1241	73	118	124	119	95	69	83	66	78	51	65	47	26	10	18	7	3
18_MSCAII	253	42	21	13	9	9	27	23	7	6	10	4	4	2	2	1	0	0
18_T	392	62	95	77	85	88	54	60	51	39	30	29	13	8	4	7	1	0
18c	735	110	89	88	62	76	104	56	50	46	32	49	29	23	16	12	2	5
19_AM21	1101	38	59	34	54	66	56	55	53	69	44	54	42	17	19	6	5	3
19_MSCAII	262	65	54	19	17	28	20	14	14	12	14	5	7	11	8	1	0	0
19_T	321	48	45	44	39	44	45	47	16	19	25	13	8	5	5	6	1	0
19c	588	61	64	48	40	47	33	37	22	13	7	11	9	7	5	1	0	0
1_AM21	1288	40	82	68	89	94	84	80	62	67	51	48	40	22	19	17	10	3
1_MSCAII	456	117	82	43	31	42	48	27	28	21	20	19	8	12	1	3	1	0
1c	1048	135	126	85	67	76	115	80	51	57	45	32	19	22	12	16	7	2
1s	506	26	25	34	45	37	37	40	38	46	27	42	25	29	7	4	3	2
20_AM21	498	27	29	26	20	13	17	16	11	9	10	11	6	0	4	2	0	1
20_MSCAII	290	60	59	23	17	26	28	14	13	12	9	8	7	6	1	2	0	1
20_T	451	41	68	41	47	46	52	52	25	25	16	11	14	10	2	0	0	0
20c	503	52	59	62	30	45	39	43	21	20	22	16	6	9	3	1	0	1
21_AM21	1122	63	87	68	91	73	58	60	53	51	35	57	20	27	14	12	3	3
21_MSCAII	272	33	41	32	44	33	31	28	13	16	13	13	7	6	1	1	1	0
21_T	521	42	55	42	40	39	35	37	14	27	12	6	5	5	3	3	1	1
21c	1019	213	160	95	92	119	115	90	79	66	57	41	27	34	21	14	2	2
22_AM21	1211	90	158	128	117	102	95	89	75	78	66	49	37	41	21	11	3	6
22_MSCAII	345	34	43	41	51	39	48	29	16	20	15	9	14	8	0	4	0	0
22_T	488	62	88	86	77	93	49	73	38	37	36	30	35	17	9	4	1	1
22c	885	148	147	95	73	100	88	68	75	79	61	55	31	33	9	9	2	1
